EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001000,32,1,2,2,5,13,1.0,10,3,4,55,3,2,4,1,0,12,4,10,2,2,10,7,0,8,0,3
E1001006,47,1,2,2,5,13,1.0,14,4,4,42,3,2,1,2,0,12,4,20,2,3,7,7,1,7,0,3
E1001007,40,1,1,1,5,13,2.0,5,4,4,48,2,3,1,5,1,21,3,20,2,3,18,13,1,12,0,4
E1001009,41,1,0,0,3,8,1.0,10,4,2,73,2,5,4,3,0,15,2,23,2,2,5,6,1,6,0,3
E1001010,60,1,2,2,5,13,1.0,16,4,1,84,3,2,1,8,0,14,4,10,1,3,2,2,2,2,0,3
E1001011,27,1,1,0,1,3,2.0,10,2,4,32,3,3,1,1,0,21,3,9,4,2,9,7,1,7,0,4
E1001016,50,1,2,1,5,14,1.0,8,4,4,54,3,1,2,7,0,15,4,4,2,3,2,2,2,2,0,3
E1001019,28,0,1,2,1,3,1.0,1,2,1,67,1,1,2,7,1,13,4,10,4,3,7,7,3,7,1,3
E1001020,36,0,1,1,1,3,0.0,8,3,1,63,4,3,1,9,0,14,1,10,2,3,8,7,0,5,0,3
E1001021,38,0,1,2,1,3,1.0,1,3,3,81,3,3,3,4,1,14,4,10,4,4,1,0,0,0,0,3
E1001022,44,1,3,2,1,3,0.0,24,3,1,49,1,1,3,2,0,14,3,9,3,3,5,2,1,4,0,3
E1001024,47,0,3,0,5,13,2.0,3,3,4,49,3,4,3,9,1,12,4,28,2,2,5,2,1,13,0,3
E1001025,30,1,2,0,5,13,1.0,27,5,3,99,3,2,4,7,0,23,4,10,2,2,8,7,7,7,0,4
E1001027,29,1,1,2,5,14,1.0,10,3,3,99,3,1,3,1,0,11,3,1,3,3,1,0,0,0,0,3
E1001030,42,1,3,0,1,3,2.0,19,3,3,57,4,1,3,6,1,12,4,7,2,3,2,2,2,2,1,3
E1001035,34,0,3,2,1,3,1.0,8,2,2,96,3,2,3,3,0,11,4,10,2,3,5,1,4,3,0,3
E1001038,39,0,0,1,3,6,1.0,3,3,3,44,4,2,2,9,0,15,3,12,3,1,8,3,3,6,0,3
E1001040,56,1,3,1,1,3,1.0,9,3,3,81,3,4,4,7,0,11,3,10,1,2,10,7,1,1,0,3
E1001041,40,0,3,2,1,3,1.0,2,1,4,86,2,1,4,0,1,20,4,5,2,2,4,2,2,3,0,4
E1001042,27,0,3,2,1,3,1.0,7,3,4,55,2,2,1,8,0,19,1,9,2,1,7,6,0,7,0,3
E1001044,29,1,2,0,5,14,1.0,10,3,4,83,3,1,2,1,0,14,4,2,2,3,2,2,2,2,0,3
E1001047,53,1,1,2,1,3,1.0,6,3,4,86,3,2,4,2,0,17,4,19,4,3,2,2,2,2,0,3
E1001049,35,0,1,0,1,15,0.0,2,4,4,61,3,2,1,2,0,11,1,16,2,4,1,0,0,0,0,3
E1001050,32,1,1,1,1,3,2.0,24,4,1,80,3,2,4,1,0,15,4,10,2,3,10,8,4,7,0,3
E1001053,34,0,1,0,1,3,1.0,8,5,2,32,3,2,1,3,0,14,3,7,3,3,0,0,0,0,0,3
E1001054,52,1,2,1,5,8,1.0,3,4,3,31,2,4,1,1,0,11,1,10,3,4,5,6,1,3,0,4
E1001058,33,1,4,2,1,3,1.0,1,4,4,63,3,1,4,1,1,13,3,10,2,2,10,9,7,8,1,3
E1001059,25,0,3,2,5,13,1.0,26,1,3,32,3,2,4,1,0,23,2,6,3,2,6,5,1,4,0,4
E1001061,45,1,5,2,5,14,1.0,2,2,2,46,1,2,3,0,0,13,1,9,3,3,8,7,3,1,0,3
E1001062,23,1,3,2,1,3,1.0,10,1,1,79,4,1,3,1,0,18,4,2,3,3,2,2,0,2,0,3
E1001063,47,0,1,2,5,13,2.0,27,2,2,77,4,2,3,4,1,12,4,8,2,3,5,4,1,3,1,3
E1001064,34,1,4,2,5,13,1.0,2,3,4,60,3,2,4,1,0,22,3,6,3,3,6,5,1,4,0,4
